id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbStandardBikes,nbEBikes,nbEmptyDocks,nbDocks
220,"Chelsea Green, Chelsea",001179,51.49066456,-0.166485083,true,false,1279546320000,,false,7,6,1,8,15
221,"Horseferry Road, Westminster",001170,51.49481649,-0.13045856,true,false,1279552200000,,false,4,4,0,12,16
222,"Knightsbridge, Hyde Park",001101,51.50275704,-0.155349725,true,false,1279614120000,,false,7,6,1,36,43
223,"Rodney Road , Walworth",003481,51.49148474,-0.090220911,true,false,1279614420000,,false,20,20,0,4,24
224,"Queensway, Kensington Gardens",001150,51.51031,-0.18740235,true,false,1279615020000,,false,15,15,0,2,17
225,"Notting Hill Gate Station, Notting Hill",001182,51.50935342,-0.196422,true,false,1279616280000,,false,14,14,0,16,30
226,"Charles II Street, West End",003488,51.50844614,-0.131961389,true,false,1279616520000,,false,4,4,0,20,24
227,"Great Percy Street, Clerkenwell",003470,51.52891573,-0.115480888,true,false,1279616700000,,false,11,11,0,12,23
228,"St. James's Square, St. James's",001067,51.50742485,-0.134621209,true,false,1279616880000,,false,3,3,0,37,40
229,"Whitehall Place, Strand",001151,51.50654321,-0.123179697,true,false,1279617780000,,false,10,10,0,36,46
230,"Poured Lines, Bankside",001144,51.50669284,-0.103137426,true,false,1279618020000,,false,16,16,0,15,31
231,"Queen's Gate (Central), South Kensington",001089,51.49396755,-0.17873226,true,false,1279622820000,,false,20,19,1,11,31
232,"Carey Street, Holborn",001139,51.51501025,-0.112753217,true,false,1279623240000,,false,0,0,0,16,16
233,"Pall Mall East, West End",001153,51.50777049,-0.130699733,true,false,1279624260000,,false,15,15,0,7,22
234,"Liverpool Road (N1 Centre), Angel",001081,51.53450449,-0.106992706,true,false,1279624680000,,false,24,16,8,0,24
235,"Kennington Road  , Vauxhall",001154,51.49571828,-0.110889274,true,false,1279625640000,,false,34,34,0,2,36
236,"Fashion Street, Whitechapel",003483,51.51838043,-0.073438925,true,false,1279625940000,,false,19,19,0,11,30
237,"Dock Street, Wapping",003467,51.5097860151,-0.0681619805156,true,false,1279799040000,,false,20,20,0,10,30
238,"Frampton Street, Paddington",001099,51.5233534,-0.175116099,true,false,1279627920000,,false,9,9,0,23,32
239,"Warren Street Station, Euston",001090,51.52443845,-0.138019439,true,false,1279628160000,,false,2,1,1,24,26
240,"Colombo Street, Southwark",003472,51.50545935,-0.10569204,true,false,1279628280000,,false,0,0,0,0,0
242,"Beaumont Street, Marylebone",003482,51.52200801,-0.151359288,true,false,1279628640000,,false,15,15,0,8,23
243,"Gloucester Street, Pimlico",001103,51.49096258,-0.139625122,true,false,1279628940000,,false,23,23,0,2,25
244,"Earnshaw Street , Covent Garden",001145,51.51611887,-0.128585022,true,false,1279629240000,,false,12,12,0,6,18
245,"Grosvenor Road, Pimlico",001140,51.4853572,-0.142207481,true,false,1279629660000,,false,23,23,0,6,29
246,"Berry Street, Clerkenwell",001159,51.52285301,-0.099994052,true,false,1279639740000,,false,26,25,1,15,41
247,"St. John's Wood Church, The Regent's Park",001091,51.530529,-0.167515,true,false,1279639920000,,false,14,11,3,36,50
248,"Triangle Car Park, Hyde Park",001088,51.50645179,-0.170279555,true,false,1279640160000,,false,0,0,0,27,27
249,"Harper Road, The Borough",001137,51.49859784,-0.096191134,true,false,1279640400000,,false,41,41,0,1,42
